spicountrycode,spiyear,inv_inf,inv_tur,inv_san
AFG,2011,4.138155847371915,0.27455031820828785,0.21406602193185204
AFG,2012,4.129070484423335,0.32248954715950856,0.2807676617257972
AFG,2013,5.079872337880908,0.28833685718692603,0.2580695705169307
AFG,2014,4.893326545747751,0.3467495265265174,0.2603490086710867
AFG,2015,7.1410606173658975,0.38752334515611153,0.2530313489510177
AFG,2016,6.46790740717242,0.35208892816161774,0.30810560597876085
AFG,2017,6.5550019724235105,0.37515680443447197,0.287433893055813
AFG,2018,7.537837660108583,0.4239263235346121,0.2786656687999723
AFG,2019,7.21440467700594,0.3741951693896466,0.2909251910535027
AFG,2020,6.636690378026818,0.4553583757249242,0.31484745505883033
AFG,2021,7.7140780931017,0.6585562146919797,0.35603443286633063
AFG,2022,6.845316758039216,0.4023592514512133,0.25935074184580265
ALB,2011,19.568169986298177,0.878827350818551,0.8148249931796759
ALB,2012,18.47690154491806,1.144646425964519,0.8980957893809783
ALB,2013,16.44703112492977,0.928536382753641,0.8178690205631091
ALB,2014,17.57836678608939,0.9292210599637581,0.7872140919493342
ALB,2015,19.21253655152225,1.275795972859589,0.8507065735182465
ALB,2016,20.695621037730366,1.0634612037994506,0.6632970874666014
ALB,2017,19.89919392056984,1.1579516009035216,0.8649596257353709
ALB,2018,23.18168746281979,1.2752377482503432,0.861662822499363
ALB,2019,20.210873781221192,1.1099665319669954,0.7314596124220035
ALB,2020,20.15345719892501,1.00633108118758,0.8227125755185781
ALB,2021,18.995406770241654,1.2784501154033354,0.7785833035516527
ALB,2022,21.400610495199313,1.1778486771091095,0.8011361036977209
DZA,2011,17.95114314469566,0.7591960863877201,0.5689585728053077
DZA,2012,17.270750294218452,0.8665102190308348,0.7692799959124915
DZA,2013,18.332885226141276,0.9012768060760269,0.6684598402181889
DZA,2014,18.559283276638,0.9501334389421239,0.6886801850266011
DZA,2015,18.988379785263877,0.8577744910859662,0.7080638405456879
DZA,2016,14.806784569199234,1.0396500218888252,0.818001628365928
DZA,2017,14.677977000009204,1.0606994691472948,0.6583414500559097
DZA,2018,19.89635474328221,0.9280055457834587,0.6576482937518852
DZA,2019,16.718199395320546,0.9348011403405769,0.642091265674866
DZA,2020,17.83843833959546,0.9357957669310281,0.6812744733161064
DZA,2021,17.18218440607159,0.9226192020807172,0.6775955079660392
DZA,2022,16.919613387633884,1.201845653964635,0.750992450560795
AGO,2011,6.011060531811076,0.4389751094692966,0.28393987851712466
AGO,2012,5.882010755972829,0.36648833736026293,0.2954892650210014
AGO,2013,8.153699784576506,0.4898404116596563,0.2908793043251231
AGO,2014,8.049485091851185,0.41465006649756186,0.33699396326062153
AGO,2015,9.166592615564944,0.4781145574302338,0.35568789794775113
AGO,2016,9.13066334512376,0.43029849785605256,0.3273882827605245
AGO,2017,7.557771663983459,0.5364359182950799,0.3996601803866734
AGO,2018,9.641563206861084,0.48935817578297186,0.35360408356706463
AGO,2019,8.376740403790995,0.5265595084989944,0.34922232836576766
AGO,2020,9.32523261332255,0.5838921953232872,0.41137242936587065
AGO,2021,10.241958338714706,0.58249369549672,0.40217523977694153
AGO,2022,9.589192800513187,0.633778954745186,0.4407983234084399
ARG,2011,23.67341837495148,1.283015998603956,0.969619898093639
ARG,2012,22.37902106267965,1.1799735275154006,0.9358455532751054
ARG,2013,19.698203784733636,1.1315325112826622,0.9225525603046607
ARG,2014,19.268450555672295,1.4526769395950148,0.8791842635096542
ARG,2015,23.573661878944304,1.295016918403318,0.8114579016130213
ARG,2016,19.24135221678983,1.2403232932208077,0.8502927673049935
ARG,2017,19.29442158989937,1.2268041077634662,0.8015284990941298
ARG,2018,24.16344378774922,1.3941108207425301,0.8542889573854828
ARG,2019,22.299423025118315,1.1105263154095797,0.8308500799779146
ARG,2020,28.3021671206914,1.0946885609443084,0.8943703015184692
ARG,2021,23.539261599783828,1.0659132086551688,0.9603121314001072
ARG,2022,23.62882934325313,1.0347705702208845,1.05305082283153
ARM,2011,18.73335904728445,0.7734269662301789,0.7972875296450141
ARM,2012,18.890831680285817,1.083016105829315,0.8838048814395872
ARM,2013,18.548070045613862,1.0211509516252169,0.733216696413976
ARM,2014,18.885473533681274,0.8611117022185278,0.7450036208235553
ARM,2015,18.30979779652408,0.9815549040544777,0.8273317144201509
ARM,2016,18.951010596721677,1.5321203912944783,0.8969666278413213
ARM,2017,18.758935876524053,1.027601041240408,0.9758025105236533
ARM,2018,22.698462872572343,1.0115204257954329,0.9653134304309536
ARM,2019,21.060986264768985,1.3080072005772145,0.9079384444820715
ARM,2020,17.82682382229764,1.3415343280405996,0.989763070828159
ARM,2021,22.267762175790107,1.1848081336409881,0.8813640475330297
ARM,2022,19.721750208267615,1.1376005707899277,1.1643098849185276
AUS,2011,25.622347624629644,1.3147869805513648,1.0982240586566385
AUS,2012,29.198235118387345,1.277199885304829,0.9203161196514905
AUS,2013,27.404088898062913,1.531138033163952,1.0100802832190814
AUS,2014,23.620619116178716,1.321585949436777,1.0611662898209464
AUS,2015,28.16234671086824,1.6383312088626776,1.2438996989339062
AUS,2016,28.864086700275838,1.2521685252629295,1.1931742159969894
AUS,2017,24.88575038614127,1.2706994753487624,1.0435581061342862
AUS,2018,27.478700228248137,1.389146075907366,1.255276554608701
AUS,2019,26.032837306253487,1.465678413239121,1.0397689509637056
AUS,2020,28.569452158688524,1.3996402584614758,1.188289865882866
AUS,2021,23.796398098031815,1.6372965965094357,1.0730613046559887
AUS,2022,27.806391866242183,1.4835626510409101,1.0318554346246762
AUT,2011,22.007988898866262,1.2503662660702872,1.0907636048469658
AUT,2012,29.921744198463745,1.5668719994617477,1.06456325750598
AUT,2013,25.19481552100801,1.7955221115551057,1.3414882181774788
AUT,2014,25.562557239405372,1.2993397605559196,1.23328572766193
AUT,2015,25.144544982802877,1.6199854144624681,1.0101825007718848
AUT,2016,24.367027729770452,1.5547943727235312,1.2832071018259654
AUT,2017,24.09350833013446,1.140617333685754,0.974388809327475
AUT,2018,25.34643099728618,1.56574869068172,1.2097415304533468
AUT,2019,28.98128809018429,1.3175248197421217,1.2271469662495285
AUT,2020,21.173242733962724,1.2570419523098493,1.034959283793552
AUT,2021,26.493949949718374,1.3875001587387772,1.2198467995400553
AUT,2022,26.68153403327522,1.5223160960555941,1.3504326783643457
AZE,2011,14.127687277357438,0.900766198536395,0.5803621563396424
AZE,2012,15.423170674597406,0.8676272049487788,0.6274938403718883
AZE,2013,14.961979331415337,0.8272707766682459,0.582867300993078
AZE,2014,14.396799814119667,0.7947172601468101,0.675845583202345
AZE,2015,13.342633723134867,0.9633718484213992,0.7043619008569261
AZE,2016,14.927127584071942,0.8490084872331733,0.6073967381234423
AZE,2017,14.397082723724836,0.8598484253639379,0.692347534062802
AZE,2018,18.39308648058916,0.926339504906124,0.6578285699811635
AZE,2019,16.095221371073144,0.9190724527489654,0.7009167253035489
AZE,2020,14.150966685167228,0.8259610050751964,0.7143790366236328
AZE,2021,16.99262434082105,0.8740385668422784,0.7095767520083632
AZE,2022,17.303893941383876,0.9864598051274168,0.6422172821688666
BHR,2011,15.4977157431095,0.8907798970759422,0.69772785976709
BHR,2012,16.483391563394104,0.945048987826312,0.6156272441290216
BHR,2013,15.878726464486958,0.8914157672240594,0.6071303813316247
BHR,2014,16.666471945808183,0.7864022581888889,0.750817348075672
BHR,2015,19.997024702062504,0.8433666374644517,0.604779393344757
BHR,2016,17.31195323045082,0.9539146125721254,0.6879868793055532
BHR,2017,18.02255145167559,0.9524665528919862,0.6815818207362275
BHR,2018,18.206503246700457,0.8821173436954985,0.7330225273214036
BHR,2019,18.28014636947792,0.9937087512178931,0.6862565049802385
BHR,2020,15.797480855308255,1.0605253597174036,0.8090873273103057
BHR,2021,17.264417284775792,0.9970047861783304,0.7555259350412765
BHR,2022,17.70282961294445,0.908421452971124,0.673049723662569
BGD,2011,9.418714877081003,0.7033708791079479,0.42420638184315534
BGD,2012,11.977143054506445,0.5588189213769029,0.44910499210700267
BGD,2013,10.651993203118165,0.5967843637529237,0.5170343940574781
BGD,2014,10.895340055438956,0.5551625853986351,0.4481256658866359
BGD,2015,11.320987265377726,0.6074454299309386,0.4783628770365306
BGD,2016,12.592541289289874,0.654070184675468,0.5176368256728382
BGD,2017,14.446972885291732,0.6670719528969986,0.5016176795273485
