grupo,tipo,nombre,X,Y
comercio,convenience,Frutos secos Fernández,-3.8026236,40.2753035
hosteleria,restaurant,Mesón La Parrilla,-3.8003147,40.2749457
comercio,hairdresser,NA,-3.7987081,40.2758953
comercio,convenience,NA,-3.798691,40.2760401
hosteleria,cafe,Café Alhambra,-3.7979066,40.2762915
comercio,convenience,Autoservicio,-3.7978955,40.2764266
comercio,stationery,Librería Colores,-3.796797,40.2767492
comercio,hairdresser,Peluquería Enredos,-3.7976233,40.2768023
comercio,doityourself,Ferretería Coslada,-3.5380342,40.4303825
comercio,car_dealership,Barral Auto,-3.5388013,40.4317135
comercio,bakery,Tahona Aluche,-3.7581531,40.3860464
comercio,hairdresser,NA,-3.7591848,40.3870883
comercio,convenience,Alimentación Bazar,-3.7583416,40.3864275
comercio,hairdresser,Eva María,-3.7589546,40.385987
comercio,supermarket,Mercadona,-3.809738,40.2847214
hosteleria,pub,Los Pecaitos,-4.0045639,40.6201695
hosteleria,bar,Cafetería Bienmesabe,-4.0049427,40.622506
hosteleria,fast_food,Kebab Kapa Edokya,-3.7910479,40.2796375
comercio,convenience,Alimentación,-3.7985824,40.2797683
hosteleria,restaurant,Mesón Galicia,-3.7982069,40.2798311
comercio,convenience,Alimentación,-3.7955361,40.2800911
turismo,shelter,Observatorio de Aves,-3.7978251,40.3264328
hosteleria,restaurant,El Pesca,-3.9241474,40.5760749
comercio,car_wash,NA,-3.9176026,40.5682249
hosteleria,cafe,Cafetería Los Jerónimos,-3.690258,40.4140965
comercio,optician,AhorrÓpticas,-3.795427,40.2801126
hosteleria,cafe,Alessandra,-3.7970503,40.279904
hosteleria,bar,Bar Castilla,-3.7972735,40.2767798
comercio,supermarket,Dia,-3.7968261,40.279919
comercio,doityourself,Ferretería Muñoz Álvarez,-3.7957144,40.2800567
comercio,supermarket,Mercadona,-4.0589182,40.6021413
comercio,supermarket,Condis,-3.7984923,40.2800777
hosteleria,restaurant,Restaurante Chino,-3.7948079,40.2804656
comercio,butcher,Carnicería Ares,-3.7954272,40.2803398
hosteleria,bar,Cervecería Rocío,-3.7972621,40.2804981
hosteleria,bar,Bar Granada,-3.8061501,40.2862053
hosteleria,bar,Bar Restaurante La Santa Sed,-3.7938037,40.2822501
comercio,bicycle_shop,Bicicletas José Rivas,-3.7678692,40.6593053
hosteleria,bar,Bar Romero,-3.8167882,40.3008669
comercio,bicycle_shop,Bicicletas Arnelas,-3.7722512,40.6627621
comercio,bicycle_shop,Bikesupport,-3.7584107,40.6534592
comercio,supermarket,Ahorramás,-3.6195501,40.1604112
comercio,gift_shop,Curiosity Shop,-3.7077669,40.4139934
comercio,bicycle_shop,Mammoth,-3.6706718,40.4265783
comercio,bicycle_shop,Mammoth,-3.3860728,40.491519
comercio,bicycle_shop,Bicicletas Chapinal,-3.6576365,40.4314242
comercio,bicycle_shop,Bicicletas Calmera,-3.6958012,40.4105337
comercio,doityourself,Ferretería Aguilón,-3.7014983,40.3971558
comercio,convenience,Jose,-3.6738138,40.4152663
comercio,supermarket,La Plaza de DIA,-3.6755879,40.4156986
hosteleria,pub,Old Fashion - Viejo Estilo,-3.673905,40.4152643
comercio,hairdresser,Peluquería Paca Sanz,-3.6725828,40.416107
comercio,hairdresser,J. Camacho,-3.6763555,40.4155992
comercio,hairdresser,Peluquería Azul,-3.6708719,40.416454
hosteleria,restaurant,Pinocchio,-3.6718127,40.4156157
comercio,hairdresser,Manuel Zamorano,-3.6758923,40.4158895
comercio,supermarket,Dia & Go,-3.6757313,40.4159181
comercio,kiosk,NA,-3.6737199,40.4151928
hosteleria,bar,NA,-3.6737306,40.4152479
comercio,beauty_shop,Estética de la mirada,-3.6744141,40.4157267
hosteleria,bar,NA,-3.673572,40.4152551
comercio,stationery,A4 Toner,-3.6744141,40.4156696
hosteleria,cafe,Piloto II,-3.6772782,40.4154433
comercio,stationery,Inventadero,-3.71675,40.4351966
hosteleria,restaurant,Restaurante Chino,-3.7974787,40.2807102
comercio,furniture_shop,Complementos y Decoración,-3.7992524,40.2800238
comercio,butcher,Carnicería J.A. Herrero,-3.7975495,40.2807578
turismo,hotel,Hostal Campo Real,-3.3836017,40.3381315
hosteleria,bar,Bar Preciados,-3.7966054,40.2812539
hosteleria,cafe,Cafetería Ferrari,-3.7972,40.2803718
hosteleria,cafe,Cafetería Nevada,-3.7978171,40.2815181
hosteleria,restaurant,La Parada,-3.7987134,40.2805908
hosteleria,cafe,Cafetería Móstoles,-3.7947912,40.2809058
comercio,convenience,Autoservicio Tabuk,-3.7947793,40.2814704
comercio,computer_shop,Jofimática,-3.6189473,40.3736599
turismo,motel,Pensión Bulevar,-3.6150903,40.3780885
hosteleria,restaurant,Casa Guerra,-3.6219534,40.377199
comercio,beauty_shop,Aquacenter - Spa,-3.793396,40.2813165
hosteleria,cafe,Café Español,-3.795196,40.2820846
hosteleria,cafe,Cafetería La Esmeralda,-3.79338,40.2809251
comercio,supermarket,Ahorramás,-3.6194482,40.3729408
hosteleria,bar,Los Chicos,-3.6209503,40.3726098
hosteleria,bar,Bar Canalejas,-3.622616,40.3734664
hosteleria,restaurant,Nuestro Bar,-3.6217926,40.373439
comercio,greengrocer,Hoy,-3.674629,40.4160463
comercio,convenience,Frutos Secos y Variantes,-3.6967546,40.4007474
comercio,hairdresser,Wapas,-3.7909249,40.2802368
comercio,florist,Floristería Alba,-3.7926912,40.280281
hosteleria,bar,Fuxion,-3.7934091,40.2806419
hosteleria,bar,Parador D'Guille,-3.7922594,40.2816083
comercio,greengrocer,NA,-3.6201172,40.3762061
comercio,bakery,Pastelería Lara,-3.6200287,40.3742425
hosteleria,restaurant,Pazo Coruña,-3.6743841,40.4136179
comercio,florist,La Casa de Campo,-3.7893335,40.2806634
hosteleria,cafe,Cafetería El Castor,-3.7906325,40.2809786
comercio,kiosk,NA,-3.7905906,40.2810741
hosteleria,bar,Cervecería Aranda II,-3.7873967,40.2810373
comercio,car_dealership,Aremauto,-3.79317,40.281371300000004
hosteleria,bar,Bar Artes,-3.7901655,40.281376
hosteleria,bar,Bar El Coyote,-3.7906414,40.2817194
hosteleria,bar,Taberna Scala,-3.7906219,40.2795234
hosteleria,bar,El Corrillo,-3.7925165,40.2818536
comercio,greengrocer,Frutas y Verduras Kapa Edokya,-3.7912634,40.279636000000004
hosteleria,bar,Juvenal,-3.7925951,40.280264
hosteleria,bar,Los Gavilanes,-3.7926772,40.281897
comercio,sports_shop,My Padel,-3.7907568,40.2803482
comercio,convenience,Panadería Alimentación,-3.7906661,40.2808168
comercio,convenience,Tienda de Alimentación,-3.7871857,40.2813175
comercio,convenience,Tienda de Alimentación,-3.7879608,40.2815086
comercio,kiosk,NA,-3.7961301,40.283571
comercio,convenience,Alimentación y Refrescos,-3.7965849,40.2842039
comercio,stationery,Atenas,-3.7960851,40.2841615
comercio,butcher,Carnicería A.M.,-3.796403,40.2841894
hosteleria,bar,Los Ángeles,-3.7961456,40.2841668
comercio,furniture_shop,Maxconfort,-3.7961413,40.2842662
comercio,shoe_shop,Paz,-3.7958579,40.2842396
comercio,kiosk,NA,-3.7952939,40.2840327
comercio,shoe_shop,Zapatería Tu y Yo,-3.7962717,40.284178
comercio,clothes,Ropa de Mujer Pola,-3.7964751,40.2843004
comercio,sports_shop,Deportes Halcón,-3.7947414,40.2846583
comercio,greengrocer,Frutas y Verduras Primi,-3.7955202,40.2843779
hosteleria,bar,Escolar,-3.7954944,40.2844158
comercio,clothes,Moda Fabrizio,-3.7943443,40.284558
comercio,clothes,Victoria,-3.7949633,40.2841559
comercio,clothes,Charanga,-3.794687,40.2842902
comercio,doityourself,Cristalería Pulido Salamanca,-3.7951627,40.2848819
comercio,convenience,Autoservicio Atlas,-3.794954,40.2853477
comercio,computer_shop,Microshop,-3.7946956,40.2854251
hosteleria,cafe,Cafetería Quintanero,-3.7958833,40.2864839
comercio,greengrocer,Frutas y Verduras Amir Sul Tan,-3.7945203,40.2855099
comercio,convenience,Mercadito Vidal,-3.7946849,40.2861366
comercio,convenience,Alimentación Pozuelo,-3.7954475,40.2862533
comercio,sports_shop,Deportes Hiroshima,-3.7961903,40.2865344
comercio,doityourself,Aluminios y Cristales Villalba,-3.7947589,40.2870397
comercio,supermarket,Dia,-3.6773828,40.4185005
hosteleria,restaurant,Da Kiko - Pasta e Pizza,-3.6767528,40.4181185
comercio,furniture_shop,Decoración Ángel Luis,-3.7959283,40.2866477
comercio,convenience,Frutas y Verduras de los Huertos,-3.7960894,40.2866834
comercio,stationery,Papelería Cabas,-3.7956073,40.2867748
comercio,convenience,Tienda de Alimentación,-3.7955487,40.2872681
comercio,stationery,Papelería Minerva,-3.7959221,40.287676
comercio,furniture_shop,Hogar-cor,-3.7953939,40.2876819
comercio,clothes,Los Catalanes,-3.7960472,40.287685
hosteleria,bar,Bar Marbella,-3.7953357,40.2849639
hosteleria,bar,Bar San Antonio,-3.7953611,40.2853597
comercio,convenience,Frutas y Verduras Tabuk,-3.7947665,40.2874818
comercio,jeweller,Joyería Casti,-3.795992,40.2869278
comercio,convenience,Tienda de Alimentación,-3.7951335,40.28498
comercio,furniture_shop,Muebles Merino,-3.7963506,40.2865508
comercio,doityourself,Ferretería Grupo Hormigo,-3.7970729,40.2868488
comercio,kiosk,NA,-3.79604,40.2877563
comercio,furniture_shop,Muebles Kibuc,-3.7922737,40.2879535
comercio,optician,Alain Afflelou Óptica,-3.7928593,40.2864867
comercio,convenience,Alimentación,-3.7928857,40.2864225
hosteleria,bar,Bar Cervecería First Class,-3.7946863,40.2872286
hosteleria,bar,Bar Los Hermanos,-3.795152,40.2862047
hosteleria,cafe,Cafetería Bandama,-3.7924451,40.287528
comercio,florist,Floristería Vibero,-3.7937515,40.2850746
comercio,supermarket,Galería de Alimentación Fuenlabrada,-3.7924679,40.2874728
comercio,clothes,Kading,-3.7945478,40.2843967
comercio,toy_shop,Juguettos,-3.7925663,40.2872341
hosteleria,bar,Mesón El Cazador,-3.7953064,40.2855171
comercio,mobile_phone_shop,Movistar,-3.79281,40.2866096
comercio,optician,New Lens,-3.792585,40.2871888
comercio,hairdresser,Peluquería Cambiasso,-3.7959923,40.2860621
comercio,hairdresser,Peluquería María de los Ángeles,-3.7966966,40.2850881
comercio,convenience,Pescadería,-3.7947212,40.2853301
comercio,clothes,Pinky,-3.7954986,40.2874028
comercio,hairdresser,Peluquería Low Cost,-3.7952006,40.2841719
comercio,mobile_phone_shop,Phone House,-3.7927487,40.2867654
comercio,convenience,Tienda de Alimentación,-3.7960085,40.2860032
comercio,mobile_phone_shop,Vodafone,-3.794419,40.2844986
comercio,shoe_shop,Zapatos City,-3.7926636,40.2869805
comercio,clothes,Venus,-3.7924904,40.2874181
comercio,clothes,Shopping,-3.7925023,40.2873892
hosteleria,bar,Bel Canto,-3.6660966,40.4272704
comercio,convenience,Tienda de Alimentación,-3.7944692,40.2880046
hosteleria,bar,Bar Bleda,-3.7938763,40.2880711
comercio,convenience,Tienda de Alimentación,-3.7932941,40.289042
hosteleria,bar,Cervecería La Puebla,-3.7928597,40.2891392
hosteleria,bar,Lucky Bar,-3.7931025,40.2891757
hosteleria,cafe,Cafetería May,-3.7931035,40.2892734
hosteleria,bar,Cherokee,-3.7003554,40.4279774
comercio,bicycle_rental,3CBike,-3.7121814,40.5998203
comercio,bicycle_rental,3CBike,-3.7024638,40.595963
comercio,bicycle_rental,3CBike (Fuera de servicio),-3.7013426,40.6012947
comercio,bicycle_rental,3CBike,-3.7151419,40.5987035
comercio,bicycle_rental,3CBike,-3.7112829,40.6060314
hosteleria,restaurant,Bar Restaurante Los Molinos,-3.7928049,40.2905548
comercio,butcher,Carnicería Toni,-3.7927266,40.2909837
comercio,convenience,Tienda de Alimentación,-3.7926486,40.2912345
comercio,hairdresser,Peluqueros Pasamontes,-3.7926091,40.2913171
hosteleria,cafe,Café - Bar,-3.7925868,40.2914038
hosteleria,restaurant,La Cañada,-3.863529,40.3978755
hosteleria,cafe,Cafetería Tinín,-3.7923437,40.2902949
comercio,bookshop,Generación X,-3.7923054,40.2904424
comercio,convenience,Frutas y Verduras Vida Sana,-3.7924727,40.2904681
comercio,convenience,Tienda de Alimentación,-3.7922092,40.2907988
comercio,hairdresser,Peluquería New Style,-3.7922878,40.2911762
hosteleria,cafe,Mundo Torta,-3.7921852,40.291572
comercio,bakery,Marga,-3.7922879,40.2930136
hosteleria,restaurant,Restaurante Chino Jardín Feliz,-3.7930261,40.2932422
turismo,hotel,Hotel Vivar,-3.8500541,40.2124683
hosteleria,bar,4 Faroles,-3.715503,40.3854418
hosteleria,bar,La bodega,-3.7152876,40.3855707
hosteleria,bar,Bar Justi,-3.7147683,40.3855586
comercio,convenience,Productos Carlos,-3.7149086,40.3854647
hosteleria,bar,Lagartijo,-3.7143645,40.3854676
hosteleria,bar,Los Cortitos,-3.7138743,40.3854617
comercio,toy_shop,Joima,-3.7115159,40.384884
comercio,supermarket,Suma,-3.7196336,40.4706725
comercio,supermarket,Unide,-3.7218049,40.469617
comercio,supermarket,Hiber,-3.7230983,40.4681653
comercio,supermarket,Dia Market,-3.7194698,40.4654428
comercio,supermarket,Dia,-3.7223299,40.4698788
hosteleria,bar,Los olmos,-3.7229892,40.468705
hosteleria,restaurant,Come y caña,-3.7224352,40.468002
hosteleria,cafe,La Orensana,-3.7224352,40.4682877
hosteleria,bar,Bar Villamadrid,-3.722748,40.4703382
comercio,hairdresser,Peluquería Atenea,-3.7229067,40.4702416
hosteleria,pub,O'Connors,-3.7914286,40.2940219
comercio,convenience,Frutos Secos - Pan,-3.7924956,40.2945327
comercio,convenience,Alimentación Hnos. Bodas,-3.7917661,40.2949021
hosteleria,bar,Cervecería Museo,-3.791527,40.2949174
comercio,convenience,Alimentación y Frutos Secos Guti,-3.7922826,40.2957388
hosteleria,bar,Bar,-3.7922944,40.2958865
comercio,supermarket,NA,-3.5380948,40.3670565
comercio,convenience,Alimentación Viena,-3.8554689,40.3137247
hosteleria,cafe,Cafetería Viena,-3.8555061,40.3137732
comercio,furniture_shop,Diseño y Decoración,-3.8562275,40.3122297
comercio,hairdresser,Peluquería Derossy,-3.8555661,40.3138452
hosteleria,bar,El Bodegón,-3.7206816,40.4660446
hosteleria,bar,El Rincón,-3.7205262,40.4660127
comercio,car_dealership,Autos Rueda Navarro,-3.7921128,40.2886331
comercio,car_dealership,Autos de Ocasión Camuñas,-3.7943596,40.2880177
hosteleria,bar,Bar Oliva,-3.7926868,40.2874207
hosteleria,cafe,Café El Río,-3.7922215,40.2927415
comercio,hairdresser,Centro de Belleza Alazán,-3.7923907,40.2907792
hosteleria,bar,Cervecería Cruz Blanca,-3.7937212,40.2890022
hosteleria,bar,Chevere,-3.7934633,40.2890052
comercio,stationery,Copycolor,-3.7943726,40.2878285
comercio,sports_shop,Deportes Safari,-3.7921658,40.2890104
comercio,stationery,Eco-espacio,-3.7921777,40.2909221
comercio,butcher,Embutidos Los Extremeños,-3.7926158,40.28766
comercio,jeweller,Joyería Yesi,-3.7926907,40.2910656
comercio,hairdresser,Marko,-3.7946661,40.2880148
comercio,bakery,Panadería Acueducto,-3.7954415,40.2880031
comercio,bakery,Panadería Rico Pan,-3.7927286,40.2908586
comercio,bakery,Patricio,-3.7924738,40.287922
comercio,hairdresser,Peluquería Gema,-3.7930739,40.2870166
comercio,hairdresser,Peluquería Mascolor,-3.7922883,40.2924907
comercio,hairdresser,Peluquería de Caballeros,-3.7927715,40.2906847
comercio,hairdresser,Peluquería y Estética Adonis,-3.7933059,40.2932467
comercio,butcher,Pollerías La Tradicional,-3.7942958,40.2878369
comercio,doityourself,Repuestos Ramírez,-3.7926294,40.2882036
comercio,optician,Visionlabs,-3.7920565,40.2887817
comercio,supermarket,Carrefour Market,-3.7043713,40.4473295
hosteleria,bar,Cervecería Lamar,-3.5730996,40.4163314
hosteleria,bar,La Esquinita,-3.5707142,40.4193907
comercio,supermarket,Dia,-3.706747,40.4554084
hosteleria,fast_food,Pollo Campero,-3.6150621,40.5413781
hosteleria,fast_food,Pollo Campero,-3.7388622,40.3633773
hosteleria,fast_food,Pollo Campero,-3.7336694,40.3384394
hosteleria,cafe,CakeTime,-3.8870854,40.4023365
hosteleria,restaurant,La taverna de Alfredo,-3.8864202,40.4019117
hosteleria,restaurant,Puerta de Sevilla,-3.8853795,40.4003756
hosteleria,restaurant,La morenica del Bierzo,-3.887593,40.4055612
hosteleria,restaurant,Las tres nueces,-3.893486,40.4053328
hosteleria,restaurant,NA,-3.8938338,40.4053512
hosteleria,restaurant,O Carro,-3.8952726,40.4049848
hosteleria,restaurant,La antigua taberna,-3.895765,40.4076877
hosteleria,restaurant,Restaurante Alumnos,-3.8769058,40.3344048
hosteleria,restaurant,Restaurante profesores,-3.8756285,40.3372749
hosteleria,bar,Bar de Copas Capricho,-3.7914455,40.2941756
hosteleria,bar,Belgius,-3.7914824,40.2929157
hosteleria,cafe,Cafetería En K'Mariano,-3.7914837,40.2945237
hosteleria,bar,Enebro Tapas Bar,-3.7912669,40.2931068
comercio,hairdresser,Peluquería Afro,-3.7922123,40.2942721
comercio,hairdresser,Peluquería Rivas,-3.7904353,40.2946051
comercio,hairdresser,Peluquería de Caballeros Eduardo,-3.791724,40.2945188
comercio,convenience,Tienda de Alimentación,-3.7904666,40.2944867
hosteleria,bar,Warhol Lounge Café,-3.7911242,40.2932429
hosteleria,restaurant,Ya sushi,-3.5619282,40.4278944
hosteleria,fast_food,Pollo Campero,-3.9245184,40.2997986
hosteleria,cafe,La Guarida,-3.7868798,40.2951034
comercio,supermarket,Dia Market,-3.7875915,40.2952801
comercio,bakery,Panadería Panamá,-3.7848352,40.2945334
comercio,car_dealership,Automóviles Anan S.L.,-3.7867505,40.2956293
comercio,hairdresser,Te Depilo con Hilo,-3.7845829,40.2959214
comercio,supermarket,La Sirena,-3.7273157,40.4133061
comercio,supermarket,Dia,-3.7264756,40.4125345
comercio,supermarket,Dia Market,-3.7260959,40.4137542
hosteleria,bar,La esquina de Eusebio,-3.7270383,40.4122036
hosteleria,restaurant,Las Marismas,-3.7264511,40.4143452
turismo,hostel,Albergue juvenil Santa Cruz de Marcenado,-3.7132155,40.4297917
hosteleria,bar,Torrepista,-3.4799452,40.4645847
comercio,bookshop,Papelería Mavel,-3.6562792,40.5539383
hosteleria,bar,Bar Castillo,-3.7924942,40.2878545
comercio,butcher,Carnes Alberto,-3.7925214,40.2877865
comercio,convenience,Tienda de Alimentación,-3.7854223,40.293876
hosteleria,restaurant,Mesón Leitariegos,-3.7870657,40.294315
comercio,shoe_shop,NA,-3.7854844,40.2943759
hosteleria,cafe,Cafetería Merlot,-3.7867899,40.2943805
hosteleria,bar,Bar Grillo,-3.7855945,40.2945002
comercio,convenience,Rolinda's Alimentación,-3.7864317,40.2946675
comercio,greengrocer,Naturfruit,-3.7869741,40.2947972
comercio,clothes,Moldea tu figura,-3.7871187,40.2949014
hosteleria,bar,Bar Basilio,-3.7848852,40.2948505
hosteleria,bar,Bar El Parque,-3.7850305,40.2941747
hosteleria,cafe,Café La Avanzada,-3.7893018,40.2956638
comercio,shoe_shop,Calzados La Avanzada,-3.7853311,40.2940138
hosteleria,bar,Cervecería Callao,-3.7853823,40.2939139
hosteleria,cafe,Churrería - Cafetería Iris,-3.7849274,40.2947719
comercio,greengrocer,El Rey de la Fruta,-3.7892911,40.2953686
hosteleria,restaurant,Mesón El Risco,-3.7857344,40.2943783
comercio,clothes,Moda H&C,-3.7894407,40.2954008
comercio,stationery,Papelería Mil Colores,-3.7862617,40.2947163
comercio,hairdresser,Peluquería Callao 60,-3.7848497,40.2949163
comercio,hairdresser,Peluquería de Caballeros López,-3.7856101,40.2940738
hosteleria,restaurant,Sabor Añejo,-3.7892508,40.2945695
comercio,convenience,Tienda de Alimentación,-3.7868561,40.2938602
comercio,convenience,Tienda de Alimentación,-3.7891271,40.2953336
comercio,hairdresser,José F. Herráiz,-3.7142957,40.4456589
comercio,mobile_phone_shop,Locutorio y juguetería,-3.7129831,40.4464272
hosteleria,cafe,La Vuelta,-3.7135061,40.4463066
comercio,hairdresser,Peluquería JEL,-3.7145639,40.4460232
hosteleria,restaurant,Lizarrán,-3.70409,40.4363248
hosteleria,restaurant,Piscolabis,-3.7040493,40.4372453
hosteleria,restaurant,Casa Hilda,-3.7040912,40.4362604
hosteleria,pub,Tapeando,-3.7040897,40.4363721
hosteleria,restaurant,Huerto y Brasa,-3.704067,40.4369553
hosteleria,restaurant,Mesón Fernando,-3.7040817,40.4364775
comercio,computer_shop,App Informática,-3.7221364,40.4673536
comercio,hairdresser,Archianno y Ferchianno,-3.7221052,40.46802
hosteleria,bar,Bar Marpil,-3.7214633,40.4650762
hosteleria,bar,Bar Matins,-3.7218756,40.4671891
hosteleria,bar,Bar Maype,-3.7215079,40.4694307
comercio,bookshop,Librería Lápiz y Papel,-3.7212341,40.4663949
hosteleria,restaurant,Oriental Palace,-3.721344,40.4646737
hosteleria,pub,Pub Rosses,-3.7211084,40.4662027
hosteleria,restaurant,Restaurante La Parra,-3.7223125,40.4709107
comercio,shoe_shop,Zapatería arreglos de ropa,-3.7223408,40.4700265
hosteleria,restaurant,La Serranía,-3.4836868,40.4460761
comercio,car_wash,NA,-3.4833541,40.4464988
turismo,hotel,Hotel Vincci SOMA,-3.6780541,40.4250662
comercio,bicycle_shop,JUAN FERMOSEL,-3.7692456,40.6604984
comercio,doityourself,M Saiz Plásticos,-3.7024214,40.4325372
