grupo,tipo,nombre,X,Y,CMUN,CDIS,t3_1,puntos
turismo,hotel,NH Ciudad de la Imagen,-3.7881758,40.3984408,115,01,41.46521748151595,2
hosteleria,restaurant,Café Comercial,-3.7020018,40.428732,079,01,43.76241536791854,4
hosteleria,pub,Sidrería la Camocha,-3.7016864,40.4270264,079,01,43.76241536791854,4
hosteleria,pub,Gran Cafe Santander,-3.6963292,40.4276032,079,01,43.76241536791854,1
comercio,supermarket,Alcampo,-3.7068876,40.480352,079,08,43.76241536791854,5
hosteleria,fast_food,Burger King,-3.6072228,40.4333661,079,20,43.76241536791854,2
hosteleria,pub,Café Melo's,-3.7010866,40.4097328,079,01,43.76241536791854,1
hosteleria,pub,Olé Lola,-3.6981336,40.4260312,079,01,43.76241536791854,3
hosteleria,bar,Mür Café,-3.7121995,40.4256418,079,01,43.76241536791854,3
hosteleria,restaurant,Rey de Tallarines,-3.709622,40.4245836,079,01,43.76241536791854,5
hosteleria,restaurant,La Parrilla de Nino,-3.7120848,40.425762400000004,079,01,43.76241536791854,5
hosteleria,pub,Tempo,-3.7118249,40.4252955,079,01,43.76241536791854,5
hosteleria,restaurant,Delhi,-3.7118533,40.42514,079,01,43.76241536791854,3
hosteleria,restaurant,La Pomarada,-3.711541,40.4260327,079,01,43.76241536791854,4
turismo,hotel,Room Mate Mario Hotel,-3.7093262,40.4188562,079,01,43.76241536791854,2
hosteleria,restaurant,Sexto,-3.6963836,40.4252476,079,01,43.76241536791854,4
hosteleria,fast_food,NA,-3.6962971,40.4274303,079,01,43.76241536791854,3
hosteleria,fast_food,Don Oso,-3.7163184,40.4366465,079,07,43.76241536791854,1
hosteleria,fast_food,McDonald's,-3.7049818,40.4164064,079,01,43.76241536791854,4
hosteleria,restaurant,Brasa y Leña,-3.7088498,40.4162327,079,01,43.76241536791854,2
hosteleria,restaurant,100 Montaditos,-3.7087291,40.413636,079,01,43.76241536791854,1
hosteleria,cafe,Anticafé,-3.7101814,40.4167458,079,01,43.76241536791854,5
hosteleria,pub,NA,-3.7114792,40.4787084,079,08,43.76241536791854,3
hosteleria,bar,Cadillac Solitario,-3.699712,40.4874732,079,08,43.76241536791854,5
hosteleria,restaurant,El Viajero,-3.7102277,40.4116272,079,01,43.76241536791854,5
hosteleria,pub,Pez Tortilla,-3.7105359,40.4118381,079,01,43.76241536791854,4
hosteleria,pub,La Tomasa,-3.7103891,40.4117858,079,01,43.76241536791854,5
hosteleria,pub,El Bonanno,-3.7106292,40.4118652,079,01,43.76241536791854,4
hosteleria,restaurant,Que trabaje Rita,-3.7105933,40.412068,079,01,43.76241536791854,2
hosteleria,pub,Cervecería San Andrés,-3.7109368,40.4119148,079,01,43.76241536791854,4
hosteleria,restaurant,El Cosaco,-3.7113878,40.4130128,079,01,43.76241536791854,4
hosteleria,restaurant,El Estragón Taberna,-3.7117933,40.4130894,079,01,43.76241536791854,4
hosteleria,restaurant,Tío Timón,-3.7117469,40.4131593,079,01,43.76241536791854,4
hosteleria,restaurant,Taquería del Alamillo,-3.7127335,40.4137154,079,01,43.76241536791854,5
comercio,bookshop,"Librería ""Arranca Thelma""",-3.7126525,40.4135438,079,01,43.76241536791854,2
