capacidad,demanda,tmed,prec,velmedia,presMax
1023,914,9.49042417430655,0,1.0377230865719276,945.89973142398
1032,1146,23.272995900931544,0.36633144424451014,2.131244573813417,946.5555217862468
1015,1124,6.520360459230792,0,0.4355119544537056,957.4174429732988
1027,911,14.425191288456944,0,1.3343626276172094,956.1170714112334
957,1060,11.055732824171066,0,3.7204333409245343,933.0036322944176
1028,917,10.554190682440003,0.27939510694546277,3.040250861413715,931.1421555345328
1027,911,25.333939500905625,0,0.8594288513105439,943.873206615898
1007,895,8.595755170833309,0,1.7370667439322918,944.1095187415758
978,1090,21.48303309789614,0,2.262300746805068,941.8693336055068
1027,1135,10.984912987510242,-0.16013566970297455,6.994928082523312,950.329416257415
